"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 14 16:47:14 MSK 2022","Thu Jul 14 16:47:15 MSK 2022","604","chromium","test.spec.ts","Test redmine","","","Checking the ability to select all tasks",""
"broken","Thu Jul 14 16:47:41 MSK 2022","Thu Jul 14 16:47:42 MSK 2022","899","webkit","test.spec.ts","Test redmine","","","Checking for previous revisions.",""
"broken","Thu Jul 14 16:47:14 MSK 2022","Thu Jul 14 16:47:15 MSK 2022","579","chromium","test.spec.ts","Test redmine","","","Check ""getting started"" text",""
"broken","Thu Jul 14 16:47:11 MSK 2022","Thu Jul 14 16:47:11 MSK 2022","329","chromium","test.spec.ts","Test redmine","","","check the search",""
"broken","Thu Jul 14 16:47:34 MSK 2022","Thu Jul 14 16:47:36 MSK 2022","1572","webkit","test.spec.ts","Test redmine","","","check the wiki text",""
"broken","Thu Jul 14 16:47:07 MSK 2022","Thu Jul 14 16:47:07 MSK 2022","786","chromium","test.spec.ts","Test redmine","","","Сheck for avatar",""
"broken","Thu Jul 14 16:47:24 MSK 2022","Thu Jul 14 16:47:25 MSK 2022","1182","firefox","test.spec.ts","Test redmine","","","Checking the ability to select all tasks",""
"broken","Thu Jul 14 16:47:30 MSK 2022","Thu Jul 14 16:47:32 MSK 2022","2222","webkit","test.spec.ts","Test redmine","","","check the create new task",""
"broken","Thu Jul 14 16:47:17 MSK 2022","Thu Jul 14 16:47:19 MSK 2022","1455","firefox","test.spec.ts","Test redmine","","","Сheck for avatar",""
"broken","Thu Jul 14 16:47:34 MSK 2022","Thu Jul 14 16:47:36 MSK 2022","1749","webkit","test.spec.ts","Test redmine","","","check the search",""
"broken","Thu Jul 14 16:47:17 MSK 2022","Thu Jul 14 16:47:18 MSK 2022","430","chromium","test.spec.ts","Test redmine","","","Checking for previous revisions.",""
"broken","Thu Jul 14 16:47:27 MSK 2022","Thu Jul 14 16:47:28 MSK 2022","1284","firefox","test.spec.ts","Test redmine","","","Checking for previous revisions.",""
"broken","Thu Jul 14 16:47:30 MSK 2022","Thu Jul 14 16:47:32 MSK 2022","2219","webkit","test.spec.ts","Test redmine","","","Сheck for avatar",""
"broken","Thu Jul 14 16:47:38 MSK 2022","Thu Jul 14 16:47:39 MSK 2022","1511","webkit","test.spec.ts","Test redmine","","","Check ""getting started"" text",""
"broken","Thu Jul 14 16:47:20 MSK 2022","Thu Jul 14 16:47:22 MSK 2022","1352","firefox","test.spec.ts","Test redmine","","","check the create new task",""
"broken","Thu Jul 14 16:47:21 MSK 2022","Thu Jul 14 16:47:22 MSK 2022","1346","firefox","test.spec.ts","Test redmine","","","check the search",""
"broken","Thu Jul 14 16:47:07 MSK 2022","Thu Jul 14 16:47:08 MSK 2022","1476","chromium","test.spec.ts","Test redmine","","","check the create new task",""
"broken","Thu Jul 14 16:47:38 MSK 2022","Thu Jul 14 16:47:39 MSK 2022","1531","webkit","test.spec.ts","Test redmine","","","Checking the ability to select all tasks",""
"broken","Thu Jul 14 16:47:27 MSK 2022","Thu Jul 14 16:47:28 MSK 2022","1499","firefox","test.spec.ts","Test redmine","","","Check ""getting started"" text",""
"broken","Thu Jul 14 16:47:11 MSK 2022","Thu Jul 14 16:47:11 MSK 2022","381","chromium","test.spec.ts","Test redmine","","","check the wiki text",""
"broken","Thu Jul 14 16:47:24 MSK 2022","Thu Jul 14 16:47:25 MSK 2022","800","firefox","test.spec.ts","Test redmine","","","check the wiki text",""
